use Bibilunette 
insert into Client 
(courriel,nom,prenom,adresse,numCarte,motPasse) 
VALUES 
('ncj0ad7@yahoo.com','Pugh','Ernest','6 Heather Ave.Sioux Lookout, ON P8T T1E','3511447066511333','2sn1f'),
('jxo3j1c@gmail.com','Logan','Xzavier','8876 Vale StreetSaint-Ambroise, QC G7P J4T','7778177715256074','cnd3pg'),
('eewuobhzd@yahoo.com','Lindsey','John','88 Mammoth Rd.St-Louis-de-Kent, NB E4X C7B','3756760424410804','fxwht1rs'),
('yis5ma@hotmail.com','Chandler','Aubrie','256 Plymouth StreetWetaskiwin, AB T9A S8P','1355833368344680','3jcmp'),
('jurpk0s@yahoo.com','Blake','Cyrus','631 Market St.Ville Émard, QC H4E G8N','5786535173177506','jf3r1x'),
('hz2kne@gmail.com','Owens','Samara','90 Clark Ave.Summerside, PE C1N X7A','0248410632188388','ubm52'),
('g2zvlr6j4@gmail.com','Holmes','Marcos','7791 Grove CircleReserved, QC H0H P7L','3602368746273834','o4x1en'),
('b9xw0@yahoo.com','Osborne','Eddie','8997 Second LanePont-Viau, QC H7G P7P','7208073440466820','aygw7'),
('5qtu7@hotmail.com','Hancock','Alden','78 Pilgrim St.Le Fjord, QC G0T S2L','5711131783644603','5iazw'),
('oteqwa7@hotmail.com','Gallagher','Kaitlin','495 Windsor StreetGananoque, ON K7G E9P','0720151630335754','9285pmt'),
('7odwn1nvx@gmail.com','Prince','Skylar','9938 Lakeshore Rd.Clermont, QC G4A C4N','4732578780132817','dh3uoy'),
('qyzrn3@yahoo.com','Ross','Jared','9737 Thatcher LaneOxford, ON N0J S1N','4444808651561010','n4z1ww'),
('ojq3yegcm@hotmail.com','Reed','Dalton','8184 Peachtree St.Coldbrook, NS B4R S5N','8382445666206653','g57ro'),
('oa56ihi5@hotmail.com','Atkins','Deon','78 S. Ohio StreetBuena Vista, SK S2V G7L','7716882235386242','8u8mobq'),
('uot0zvkbi@hotmail.com','Koch','Perla','361 N. Mountainview St.Donnacona, QC G3M L2N','5553314375533050','01mn5mq'),
('ubmyo0r@yahoo.com','Chang','Madyson','27 Pilgrim Ave.Arnprior, ON K7S S5Y','4168362162231401','xtb29p1x'),
('xxnhpj063@hotmail.com','Owen','Giada','9039 Marsh Dr.Bath, NB E7J A3E','5485762702774426','guxaxl'),
('2bb27nr2k@hotmail.com','Frye','Donald','9919 Rockledge RoadWinkler, MB R6W C6G','0613557324471470','oumgvbt5m'),
('72xa43c@hotmail.com','Richmond','Remington','241 Deerfield RoadMarion Bridge, NS B1K C9C','5786112778282317','t239uwk1'),
('87ts0@yahoo.com','Gregory','Sage','8 High LaneDauphin, MB R7N K2E','6658455614268585','oxxcl'),
('ofdzpufvp@gmail.com','Wyatt','Dashawn','793 Smith Store AvenueMont-Joli, QC G5H P0J','8161068700502622','rffazwq6t'),
('w9yn3tde@hotmail.com','David','Lilliana','91 North Somerset StreetSaint-Sophie, QC J5J B8A','0737211414827385','l3780p1d1'),
('459y0@gmail.com','Garza','Zachary','8075 Arrowhead StreetMont-Tremblant, QC J8E X6P','1728702420222647','i2x5v47l6'),
('r8se70pv1@gmail.com','Herring','Jonathan','270 East Lantern St.Sackville, NB E4L N9J','4745850388368776','8jdqz'),
('amjayouk@gmail.com','Thompson','Frida','703 Wall St.Fergus, ON N1M A9E','5252240034844004','qat50b2h'),
('iol1rgyin@yahoo.com','Burch','Beau','5 Academy Ave.Amherst, NS B4H L4J','7687707465460563','uboyfb'),
('oklupt@hotmail.com','Fisher','Adalynn','500 Cedar Swamp St.Drayton Valley, AB T7A V9Y','0075414120813446','je2bu5k'),
('9hutkr@yahoo.com','Sosa','Aubrey','55 Longbranch StreetWasaga Beach, ON L9Z M4K','8172184467465566','4ojkz0tp'),
('ek7ef3r82@hotmail.com','Salinas','Grant','9841 W. Manhattan CourtBurtts Corner, NB E6L K0Y','1302313313776813','aki1znm2'),
('1g2tg3x3@hotmail.com','Savage','Reid','9780 Carson AvenueParry Sound, ON P2A L3P','5462348467444484','m14i786b'),
('gezs8ht@gmail.com','Collins','Dominique','9237 Briarwood St.Petitcodiac, NB E4Z H4R','8607813740272753','pefjp'),
('4xu8awfy3@yahoo.com','Flynn','Enzo','45 Ivy LaneMercier, QC J6R H9P','1750337807800066','w5uempprx'),
('ftxxw@yahoo.com','Tanner','Adan','404 Fremont St.Petite-Bourgogne, QC H3J R9H','6810573115043868','ak6b9sv'),
('l28syjk@gmail.com','Huynh','Darryl','172 W. Sage StreetBeaumont, AB T4X L9M','5012473560376222','fapszy'),
('o0icmxs@gmail.com','Drake','Efrain','442 Marconi Ave.Tecumseh, ON N8V A4C','4874047343645083','hfivrq19y'),
('h2dzr6y5@hotmail.com','Livingston','Anne','8470 Park LaneDuncan, BC V9L Y6M','7758140525224010','tq2ea1'),
('57rvd13s@yahoo.com','Villanueva','Payton','11 6th AvenueAppalaches, QC G0R L0R','3541107083045263','cxc2tboce'),
('03olcfgd@hotmail.com','Howell','Solomon','8773 W. Pacific Ave.Shediac, NB E4P Y0J','2710527754121228','wigi3dg9'),
('u07bmu75a@gmail.com','Padilla','Lucia','8834 Canterbury St.Tantallon, NS B3Z P0Y','1577061565762020','x3i7sr8t'),
('s95u3ntxq@gmail.com','Goodwin','Aydin','722 Sunset Ave.Laterrière, QC G7N R8C','6033312280071247','ae0vy'),
('c011k@hotmail.com','Yates','Kaelyn','96 East Saxton St.Kedgwick, NB E8B X4S','1232708247557187','yqep2uv'),
('sw2s0cm@hotmail.com','Hayes','Gideon','349 1st StreetGreely, ON K4P C9E','7370475283023686','8by85cep'),
('ljsrkuf@gmail.com','Pacheco','Makena','2 Cleveland Dr.Fourchu, NS B2J V8A','6160107030856426','v1qq38cp'),
('b1fgj1@hotmail.com','Thornton','Damarion','541 Cross Rd.Nunavik, QC J0M J2N','1781463720074051','ptzv9z'),
('wupn74nk4@gmail.com','Riggs','Andrew','50 Elm StreetCapitale-Nationale, QC G0A G1H','2768551671343653','plm6tsfh2'),
('k7gjmp@hotmail.com','Nash','Edward','8435 Devon StreetPort Stanley, ON N5L K5G','6377168622355857','pcmi0l3o'),
('sjdk7sy@gmail.com','Bradley','Camila','422 Summer AvenueWindsor, ON N8P T2J','4287546672514442','k4p01um'),
('iz5l1@hotmail.com','Welch','Jax','794 South Oak Meadow St.Ville-Marie, QC J9V P0L','8055222200475721','947u2pyg'),
('s5tqqm@gmail.com','Velazquez','Liberty','6 Carpenter Ave.Lacombe, AB T4L L3M','4343786314710723','fhhnhpfp'),
('dtkz7bdq@hotmail.com','Hawkins','Johnathan','116 Thompson Ave.Manicouagan, QC G0H H8V','7316011684482182','dzyk61lck'),
('hp9fbzklm@yahoo.com','Davis','Emmy','59 Chapel St.Chaudière-Sud, QC G0N N2B','8482380783243123','40pl69ftj'),
('5yf9kdyf@hotmail.com','Ball','Roderick','27 Railroad LaneFort St. John, BC V1J T8K','2526377422742417','x7fj3'),
('it2hi6c3@hotmail.com','Stanton','Trevin','245 Brickell RoadWhitecourt, AB T7S P9M','8485254375430462','c1s9k'),
('u2ttz6r@yahoo.com','Stein','Virginia','157 Logan RoadKingsclear, NB E3E S5G','7612175203248035','qre00xj'),
('cz4l9@yahoo.com','Berry','Jaeden','79C Rockaway AvenueUxbridge, ON L9P B5C','7253828372817634','5fa221'),
('f0gglyp5@hotmail.com','Rios','Anahi','641 SE. Pineknoll StreetEtobicoke, ON M8V N5P','7563713075322702','4pj5zq'),
('96veoep1@hotmail.com','Chung','Iliana','9174 Thatcher LaneCoaldale, AB T1M X9L','7077644346085721','409u8'),
('uelead@yahoo.com','Austin','Deegan','47 Purple Finch Dr.Penticton, BC V2A X6T','3304137874101526','xm34s5u'),
('drtytt@yahoo.com','Conner','Gillian','942 Westminster Rd.Aurora, ON L4G A1E','6577621815153280','qq7yjah4i'),
('a4h9ny9fc@gmail.com','Hansen','Kenna','954 Arlington DriveThompson, MB R8N R4C','6203860706370670','czfmqrzkd'),
('2laq9ev5t@yahoo.com','Rodriguez','Marely','452 East Newbridge Dr.Brockville, ON K6V Y0B','3016877115517260','chg2a'),
('1uplg0@yahoo.com','Zimmerman','Nathaly','123 East LaneMinto, NB E4B X5C','6302633451208753','gti6x'),
('xan9k@gmail.com','Pena','Nylah','27 Fieldstone Dr.Elmira, ON N3B M0G','3038757003012737','1wtbhg'),
('b8wupr@hotmail.com','Beard','Carlos','7527 Holly Ave.Cobourg, ON K9A T8L','8755268216713088','vwrdid2'),
('bbaxz0@hotmail.com','Choi','Evelin','9473 Somerset LaneWhitehorse, Yukon Y1A P7N','7526214865160364','np9zl'),
('154ck5@gmail.com','Blanchard','Mckinley','96 Gonzales Rd.Gagetown, NB E5M L1X','6573706123786401','quqvxub0a'),
('ndqjqby@yahoo.com','Carpenter','Alexandra','9477 Sycamore LaneEnfield, NS B2T M4T','7085080448627347','lb2llvj'),
('p86yd7g@gmail.com','Berger','Willie','389 N. Country Club St.Port Moody, BC V3H S6M','4623846067667538','g710rn'),
('syhtb3m@hotmail.com','Lamb','Colin','569 Fifth StreetTillsonburg, ON N4G L0N','5803572073522753','v071fo'),
('xpcl5kjqy@gmail.com','Sanders','Allisson','364 Mechanic Dr.Pointe-Claire, QC H9R S3V','3800432452738808','a65uscgi'),
('je7p31ze@gmail.com','Malone','Milo','12 South Iroquois LaneCedar, BC V9X P5C','1708573805433656','p80n0fp'),
('9q9la@gmail.com','Rivas','Braelyn','9923 South Piper St.Campobello Island, NB E5E H2C','4557233781712877','6o2yp'),
('7r4ic4w4@yahoo.com','Peters','Kaia','601 Acacia Ave.Hartland, NB E7P H6H','5378045122241144','scey6p1hm'),
('w46na@gmail.com','Sutton','Krystal','7 Ketch Harbour St.Saint-Franþois, QC H7B G5E','3870170361244682','lvbaw0lql'),
('m1pkcgp@hotmail.com','Steele','Christine','255 Schoolhouse LaneCoaticook, QC J1A N1R','7865533466515144','ootvkux8o'),
('cs4isq9@gmail.com','Vincent','Maliyah','90 Edgemont St.Kirkland, QC H9J H6G','0716487880183377','8b8zdrwv'),
('y2bcs@gmail.com','Williamson','Carolyn','832 Lees Creek Ave.Beauharnois, QC J6N P2H','1761843128508106','qgk156f'),
('ix58qb@hotmail.com','Baird','Ezequiel','272 Summer LaneCartier, MB R4K P1J','5727401760526186','5ll4o'),
('nuubm@gmail.com','Figueroa','Aylin','133 Pleasant Ave.Bois-Francs-Sud, QC J0H L2R','8108108860370006','gaf8abc'),
('oxcuaxo6h@gmail.com','Silva','Alissa','101 Ann Dr.Sainte-Dorothée, QC H7X M9E','2654614261487076','6bsidme'),
('baqgxrl11@gmail.com','Ritter','Tyrese','7847 Beacon AvenueValleyfield, QC J7X T7B','7373115470581354','oh03g'),
('ivby0dm@yahoo.com','Horn','Zachery','155 Albany Rd.Nelson, BC V1L E7X','3064146625661783','8g5h8fno'),
('t07as8@gmail.com','Garner','Ariana','39 Harvey StreetHarvey, NB E6K P5T','7256742361110366','1kypwjbqs'),
('08p6gs6f@hotmail.com','Travis','Barrett','279 Wilson St.Christmas Island, NS B1T T9B','7311217021618780','6jbcscb'),
('2w6gza2@hotmail.com','Hull','Lorelai','9810 State StreetMauricie, QC G0X L6L','6738422724617340','7bsyc'),
('cdp1q1o9@gmail.com','Bonilla','Rayne','98 South York Rd.Suite 27','3887862324334573','dt43885'),
('uxes5f791@yahoo.com','Blevins','Riley','Meaford, ON N4L Y8E185 W. Jennings Ave.','1886308820242104','4do7i55c'),
('n2oz89@hotmail.com','Taylor','Alfred','Paradise, LB A1L S4V908 Constitution Road','4752845744013567','or07a'),
('ten8tjxr@yahoo.com','Douglas','Jadyn','Coverdale, NB E1J E6J300 Border Dr.','0741554466335645','4tbqqoy'),
('tk7pne4@yahoo.com','Waters','Katrina','Dominion, NS B1G C8P64 Bridgeton St.','2332052370664788','atxaiuz'),
('qwemc6@gmail.com','Garrison','Brendan','La Sarre, QC J9Z R0N704 East Washington Circle','7681258721637726','y6xlgpsxc'),
('5owxzi@yahoo.com','Hess','Sariah','Place Desjardins, QC H5B A9B654 Randall Mill Court','0346016456725465','fwv4e'),
('94qmarro@gmail.com','Hardin','Christopher','Bridgewater, NS B4V H5E731 Meadowbrook St.','3786825476783472','plrv0pg1s'),
('y21en@gmail.com','Dalton','Noemi','Deer Island, NB E5V P6Y659 W. Woodside Court','2867372636727865','g0io3x81'),
('u4kndpk0n@yahoo.com','Armstrong','Kadin','Alliston, ON L9R K1R931 Chestnut Lane','4725240554340457','b5vhd'),
('gue16@hotmail.com','Knapp','Trey','Renfrew, ON K7V V3X664 Vermont Lane','5114305467244368','19q9j7djf'),
('0wsn8d@gmail.com','Burgess','Mariah','Port Colborne, ON L3K C7R9533 Lafayette St.','8111145412071626','tdqthx'),
('qk5bshbb@yahoo.com','Velasquez','Julianne','Laval-des-Rapides, QC H7N K2X8527 Kingston Street','7482188630427567','m5wne0b3'),
('ueg8xkdze@gmail.com','Farmer','Rashad','Grand-Mère, QC G9T M5V375 Arcadia Court','0636651636101866','vkkonq468'),
('rz7nj@gmail.com','Rodgers','Maddison','Winnipeg, MB R2C H4C374 Aspen Street','4527208282876741','1m1mquuk'),
('hgc9p24kf@yahoo.com','Johns','Dane','Goulds, LB A1S M9X44 Deerfield Circle','6187580478842860','t7lxdyh'),
('tbr8o@hotmail.com','Cantu','Micheal','Tecumseh Outskirts, ON N8N J0L8036 State Ave.','3428621655407422','hxo9d'),
('4pqjbprqk@yahoo.com','Zavala','Sammy','Barrhead, AB T7N S0E114 Selby St.','0351275344547346','vlki7q5t'),
('uyyiyzrat@hotmail.com','Christensen','Beckham','Albanel, QC G8M H2K7748 Pineknoll Ave.','5721660858530524','t3kgjbc'),
('om9dt0u@yahoo.com','Barnett','Alec','Bromont, QC J2L A2P9042 Lancaster Drive','6371447448231562','bk03a'),
('6c8ex@yahoo.com','Small','Angie','Stratford, PE C1B B4B319 Fairground Street','2826155287386013','f4zkw2m'),
('g4oef@gmail.com','Stephens','Lucille','Masson-Angers, QC J8M E8K7067 Ivy Street','1338571477478078','mvbsiceo'),
('jctdx16@yahoo.com','Forbes','Colt','Shippagan, NB E8S A9A721 Tailwater St.','4153328417171225','vq6jmg3'),
